title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
Operation: Daybreak,1975,Lewis Gilbert,118,226,37,3.3,1,2,1,9,8,53,45,20,7,8
120,2008,Özhan Eren,114,928,33,2.9,10,15,20,30,35,74,31,27,4,15
Search and Destroy,1979,William Fruet,92,125,23,3.1,0,1,3,8,18,32,18,4,0,2
Occupation in 26 Pictures,1978,Lordan Zafranović,116,128,30,3.7,1,1,0,0,3,6,12,24,9,9
The Officers' Ward,2001,François Dupeyron,135,212,29,3.3,0,1,3,7,10,33,21,23,6,4
Secrets of War,2014,Dennis Bots,94,333,45,3.4,1,0,5,10,20,40,50,41,9,14
This Life,2012,Anne-Grethe Bjarup Riis,110,512,27,2.8,9,12,26,31,39,60,40,24,3,4
Line of Demarcation,1966,Claude Chabrol,120,144,19,3.5,0,0,3,2,5,15,35,27,8,0
Naval Combat in Greece,1897,Georges Méliès,1,511,27,2.6,6,17,15,49,55,42,7,9,4,8
Port of Flowers,1943,Keisuke Kinoshita,82,135,18,3.3,0,1,0,9,9,32,28,8,2,4
The Inner Circle,1991,Andrei Konchalovsky,137,257,26,3.2,3,3,3,13,16,35,28,27,7,6
Tarzan Triumphs,1943,Wilhelm Thiele,76,299,37,3.0,0,0,8,13,34,51,20,13,3,1
"This Is How We Were, How Are You Doing Now?",1976,Eddie Romero,125,196,52,3.7,0,1,0,1,4,19,25,39,13,18
Redbad,2018,Roel Reiné,160,258,14,2.4,12,29,17,51,30,34,13,8,3,1
Commandos,1968,Armando Crispino,98,132,22,3.0,0,1,8,10,20,23,14,3,2,2
Kings Go Forth,1958,Delmer Daves,109,226,22,3.1,1,1,2,14,18,52,23,16,2,3
The Devil's General,1955,Helmut Käutner,117,204,27,3.6,0,1,0,1,5,21,28,47,12,4
Desert Victory,1943,"David MacDonald,Roy Boulting",60,76,6,3.2,0,1,2,5,8,17,9,6,1,0
The Millennial Bee,1983,Juraj Jakubisko,162,99,14,3.6,0,1,2,1,3,5,12,16,8,6
Zoo,2017,Colin McIvor,96,249,25,3.1,2,6,8,14,30,59,29,20,6,4
Hornblower: The Duchess and the Devil,1999,Andrew Grieve,93,491,74,3.5,0,0,1,6,15,63,61,68,9,18
I Wanted Wings,1941,Mitchell Leisen,135,95,9,3.1,0,3,2,9,10,16,12,2,0,2
Behind Enemy Lines III: Colombia,2009,"Tim Matheson,Reynaldo Rodriguez",94,391,13,2.4,10,35,23,52,41,30,10,5,1,4
Till We Meet Again,1944,Frank Borzage,88,102,25,3.7,0,0,2,1,0,12,6,25,6,12
Burn Country,2016,Ian Olds,102,210,16,2.7,2,13,12,29,33,40,16,8,1,1
Red Dust,1990,Yim Ho,94,208,28,3.4,1,1,0,6,14,36,38,27,9,4
Lynx,1982,Stanisław Różewicz,84,154,42,3.5,0,0,1,1,10,24,24,34,13,3
The Cut-Throats,1969,John Hayes,75,171,25,2.6,3,16,10,37,28,23,9,4,1,0
Balkan Line,2019,Andrey Volgin,130,325,48,3.1,15,12,10,20,18,38,36,27,14,24
Smilin' Through,1941,Frank Borzage,100,152,30,3.6,1,1,0,5,5,14,12,13,9,16
Mobile Suit Gundam Thunderbolt: Bandit Flower,2017,Kou Matsuo,70,318,83,3.4,0,1,7,9,27,58,51,45,15,11
Enclave,2015,Goran Radovanović,92,274,42,3.3,1,5,5,9,14,35,47,29,9,11
Karmouz War,2018,Peter Mimi,118,400,36,2.5,36,21,23,42,39,42,20,15,7,9
An Unforgettable Summer,1994,Lucian Pintilie,82,146,28,3.5,0,0,2,2,5,20,18,18,8,5
Fort Graveyard,1965,Kihachi Okamoto,132,125,30,3.6,1,0,1,1,5,7,17,33,7,7
The Mahabharata,1989,Peter Brook,318,188,42,3.6,2,1,2,7,2,14,16,30,9,14
Resistance,2011,Amit Gupta,92,263,16,2.7,8,10,16,46,26,43,16,13,1,1
Distant Journey,1949,Alfréd Radok,108,123,19,3.5,0,1,0,4,4,16,13,22,7,4
Andersonville,1996,John Frankenheimer,167,314,48,3.3,2,1,0,13,13,55,43,40,8,6
The Boxer and Death,1963,Peter Solan,120,149,28,3.6,1,0,0,3,1,9,31,43,12,3
Nam Angels,1989,Cirio H. Santiago,91,139,31,3.0,1,6,6,9,16,29,19,6,3,2
The Passage,2019,Sherif Arafa,150,443,51,2.6,38,31,15,30,40,49,33,25,12,5
Tyll the Giant,1980,Rein Raamat,14,229,56,3.6,0,0,5,6,2,25,19,42,9,20
The Black Watch,1929,John Ford,93,146,13,3.1,1,3,3,10,16,22,9,13,0,0
Burnt by the Sun 2: Exodus,2010,Nikita Mikhalkov,180,205,11,2.5,22,12,13,16,16,19,8,7,1,3
Escape to Nowhere,1961,Steven Spielberg,40,330,36,2.8,0,8,8,25,27,34,8,4,3,0
Sundown,1941,Henry Hathaway,90,142,11,2.9,1,2,3,19,22,24,4,4,0,0
The Last Bridge,1954,Helmut Käutner,102,115,17,3.6,0,0,0,3,5,16,15,20,9,6
Come What May,2015,Christian Carion,114,243,35,3.3,0,2,2,11,15,52,42,29,9,8
Dirty Hearts,2011,Vicente Amorim,90,287,29,3.2,1,1,5,10,17,63,27,24,4,6
Women's Camp 119,1977,Bruno Mattei,97,128,17,2.8,3,6,4,18,7,18,7,1,1,1
Till the End of Time,1946,Edward Dmytryk,105,176,26,3.2,1,0,1,8,15,45,25,14,4,0
Sekigahara,2017,Masato Harada,150,185,31,3.3,2,0,3,13,17,29,34,30,4,4
Halls of Montezuma,1951,Lewis Milestone,113,260,27,3.1,2,2,5,12,16,52,47,9,1,5
The Paper Will Be Blue,2006,Radu Muntean,92,214,26,3.5,1,0,0,8,5,22,29,36,3,6
My Mother's Wound,2016,Ozan Açıktan,120,663,48,3.2,3,7,10,22,37,78,65,38,8,22
In the Mouth of the Wolf,1988,Francisco J. Lombardi,128,242,63,3.7,0,0,1,2,8,22,28,48,20,15
Drone,2014,Tonje Hessen Schei,78,310,33,3.2,0,3,4,18,23,56,50,38,2,4
Postcard,2010,Kaneto Shindō,114,108,17,3.4,1,0,1,5,3,14,16,23,3,0
"Gulîstan, Land of Roses",2016,Zayne Akyol,84,157,31,3.5,0,0,0,1,5,19,34,13,4,3
Hedd Wyn,1992,Paul Turner,123,95,13,3.3,0,1,1,4,9,15,15,11,1,2
Meet the Sniper,2008,Robin Walker,2,721,150,3.7,1,2,1,10,18,55,47,60,20,51
The Massacre,1912,D. W. Griffith,30,265,37,3.4,1,2,7,4,9,37,25,25,6,14
The Fighting 69th,1940,William Keighley,90,328,33,3.1,1,2,5,25,23,72,31,16,3,4
First Comes Courage,1943,Dorothy Arzner,88,109,22,3.4,0,0,1,1,6,23,20,10,3,4
Guns at Batasi,1964,John Guillermin,103,187,33,3.4,0,1,1,2,10,31,48,29,6,3
Jirga,2018,Benjamin Gilmour,78,190,30,3.1,1,5,6,18,18,36,31,18,1,3
Spitfire,2018,"David Fairhead,Ant Palmer",99,282,51,3.5,0,0,2,8,8,68,49,52,17,15
Jackboots on Whitehall,2010,"Edward McHenry,Rory McHenry",87,254,20,2.6,6,13,24,31,23,24,13,9,1,2
Company of Heroes,2013,Don Michael Paul,100,336,21,2.4,17,23,24,55,38,40,11,9,3,2
Resurrected,1989,Paul Greengrass,96,131,17,3.3,0,0,1,9,1,33,20,19,4,1
Back Door to Hell,1964,Monte Hellman,75,187,15,2.9,0,1,8,12,34,35,13,5,0,1
Sarajevo,2014,Andreas Prochaska,98,379,39,3.0,3,4,15,32,44,77,38,40,5,3
The Bunker,1981,George Schaefer,150,273,30,3.2,1,3,4,15,15,42,44,19,4,6
Tomka and His Friends,1977,Xhanfise Keko,75,141,26,3.6,0,1,1,0,5,15,22,24,5,10
No Place on Earth,2012,Janet Tobias,81,212,31,3.3,0,1,2,11,16,46,33,22,5,10
Northern Pursuit,1943,Raoul Walsh,93,271,39,3.2,2,1,3,14,17,48,34,23,2,4
The Rack,1956,Arnold Laven,100,251,32,3.2,0,0,2,15,16,50,37,31,2,0
The French Revolution,1989,"Robert Enrico,Richard T. Heffron",320,281,54,3.5,1,0,2,7,10,29,33,48,11,14
Children of the Night,2011,Caroline Deruas,25,221,30,3.4,1,1,0,5,6,29,40,39,6,2
Canopy,2013,Aaron Wilson,80,237,36,3.0,4,6,6,22,31,35,30,25,4,3
What Price Glory,1926,Raoul Walsh,116,113,10,3.3,0,0,4,2,6,16,13,12,3,2
10 Minutes,2002,Ahmed Imamović,10,389,49,3.4,2,2,7,14,26,35,51,66,22,10
Cat Shit One,2010,Kazuya Sasahara,22,413,43,3.0,7,17,9,23,31,65,43,34,4,7
The Triple Echo,1972,Michael Apted,97,178,39,3.4,0,1,1,6,7,40,44,17,3,5
The Long Way Home,1997,Mark Jonathan Harris,120,147,17,3.5,0,0,1,5,5,12,28,16,3,8
Meet the Soldier,2007,Robin Walker,1,736,158,3.5,2,3,1,16,28,51,47,56,12,44
Summer Soldiers,1972,Hiroshi Teshigahara,107,83,10,3.3,0,0,2,4,8,14,7,6,2,3
Hornet's Nest,1970,Phil Karlson,110,184,32,3.1,2,0,3,12,23,37,26,13,2,1
Battle of the Warriors,2006,Jacob Cheung,133,421,41,3.1,1,3,4,28,39,86,52,25,3,3
The Ogre,1996,Volker Schlöndorff,113,302,35,3.2,4,4,9,13,12,52,45,31,7,4
Stalin,1992,Ivan Passer,166,314,28,3.2,3,4,2,18,17,47,47,23,2,4
Jinnah,1998,Jamil Dehlavi,110,196,33,3.3,0,1,3,14,17,37,23,27,8,9
Border,1997,J. P. Dutta,176,707,65,3.3,9,7,11,18,33,57,72,69,17,15
None but the Brave,1965,Frank Sinatra,106,219,35,3.2,0,1,7,11,13,54,35,15,2,2
Go for Broke!,1951,Robert Pirosh,92,159,24,3.2,0,1,1,6,16,33,25,13,1,2
The Sea Chase,1955,John Farrow,117,334,50,3.0,3,5,4,24,29,56,36,14,4,2
Meet the Pyro,2012,,3,684,158,3.8,0,2,3,6,10,47,44,66,27,51
War,2002,Alekseï Balabanov,120,402,55,3.5,3,4,2,14,5,52,50,61,20,19
Gdansk: Part One,2017,Neill Blomkamp,2,512,50,2.6,6,25,31,60,61,56,27,15,3,3
Three Came Home,1950,Jean Negulesco,106,258,45,3.3,1,0,2,12,14,44,39,28,9,5
Cast a Giant Shadow,1966,Melville Shavelson,146,340,35,3.0,3,7,12,19,33,64,31,11,4,5
Mobile Suit Gundam: The Origin VI – Rise of the Red Comet,2018,"Yoshikazu Yasuhiko,Takashi Imanishi",84,375,102,3.8,0,0,2,3,7,29,50,94,35,20
Mobile Suit Gundam: The Origin V: Clash at Loum,2017,"Yoshikazu Yasuhiko,Takashi Imanishi",84,409,117,3.8,0,1,1,6,7,25,62,98,35,23
Captain Conan,1996,Bertrand Tavernier,129,282,41,3.5,0,2,1,8,8,33,42,46,15,9
"Bless Me, Ultima",2013,Carl Franklin,106,298,34,3.2,2,5,7,14,30,54,30,29,13,10
"What Did You Do in the War, Daddy?",1966,Blake Edwards,116,263,44,3.2,2,3,2,15,22,42,31,27,1,4
Daffy - The Commando,1943,Friz Freleng,7,517,68,3.4,0,3,4,17,19,50,57,52,16,16
River Queen,2005,Vincent Ward,114,297,19,3.0,0,7,7,22,25,56,20,18,3,1
Springfield Rifle,1952,André De Toth,93,311,32,3.2,0,1,2,20,20,55,52,21,1,1
Uprising,2001,Jon Avnet,177,353,34,3.2,1,9,3,13,16,57,45,29,11,7
Battle of the Coral Sea,1959,Paul Wendkos,86,141,13,2.9,0,4,4,22,24,26,13,0,0,1
Long Live the Republic,1965,Karel Kachyňa,134,147,39,3.8,1,0,0,0,1,7,20,35,20,12
Privates on Parade,1983,Michael Blakemore,97,221,12,2.8,3,12,5,22,16,25,13,7,0,0
Only Old Men Are Going to Battle,1973,Leonid Bykov,92,385,59,3.7,1,0,2,6,11,26,46,51,27,31
Crash Dive,1943,Archie Mayo,106,197,23,3.0,2,3,6,18,21,33,21,7,0,1
The Way to the Stars,1945,Anthony Asquith,109,207,33,3.5,1,2,0,2,11,33,33,43,13,3
Safe Conduct,2002,Bertrand Tavernier,170,209,23,3.4,2,2,2,5,12,22,28,24,5,6
The Battle: Roar to Victory,2019,Won Shin-yeon,135,272,33,3.0,7,1,14,29,36,63,29,28,5,8
Circle of Deceit,1981,Volker Schlöndorff,108,209,31,3.5,0,0,0,3,6,25,35,33,12,4
Band of Ninja,1967,Nagisa Ōshima,135,137,11,3.0,3,5,1,11,14,20,11,6,2,3
The Odd Angry Shot,1979,Tom Jeffrey,92,238,43,3.2,0,2,2,13,25,45,39,20,1,1
The Land Girls,1998,David Leland,111,334,36,3.0,2,3,5,25,26,61,17,13,1,4
Penguin's Memory: A Tale of Happiness,1985,Shunji Kimura,102,156,55,3.6,1,1,0,3,7,18,25,22,3,18
American Guerrilla in the Philippines,1950,Fritz Lang,105,259,15,2.9,1,3,8,30,27,35,13,9,2,6
The Last Note,2017,Pantelis Voulgaris,106,349,55,3.5,0,1,2,11,19,46,67,59,19,17
Tunisian Victory,1944,"Frank Capra,John Huston,Hugh Stewart",75,210,22,3.2,2,0,2,6,15,50,27,18,2,2
Noah's Ark,1928,"Michael Curtiz,Darryl F. Zanuck",135,184,20,3.0,2,4,0,16,26,37,19,11,3,0
The Captive Heart,1946,Basil Dearden,104,195,24,3.4,0,0,1,3,9,31,41,35,5,1
Why We Fight: The Battle of China,1944,"Frank Capra,Anatole Litvak",62,238,25,3.3,0,1,1,14,9,41,29,22,5,2
Between Heaven and Hell,1956,Richard Fleischer,94,174,25,3.3,2,0,1,12,13,24,24,21,4,6
15 Minutes of War,2019,Fred Grivois,98,353,46,3.1,0,3,6,24,45,90,44,35,8,9
Thunderbolt,1947,"William Wyler,John Sturges",44,314,39,3.1,0,3,2,15,27,86,30,17,8,3
The Lost Squadron,1932,George Archainbaud,79,184,22,3.1,0,1,3,14,20,41,30,14,1,1
The Hornet's Nest,2014,"David Salzberg,Christian Tureaud",93,332,46,3.2,1,3,10,24,33,60,47,38,13,18
Every Time We Say Goodbye,1986,Moshé Mizrahi,95,352,27,2.8,3,8,18,37,35,49,21,10,1,3
The 17th Parallel,1968,"Joris Ivens,Marceline Loridan-Ivens",113,86,15,3.6,0,0,0,1,3,7,12,10,9,2
Beach of the War Gods,1973,Jimmy Wang Yu,100,164,47,3.5,0,1,0,7,3,20,31,43,8,4
Mademoiselle Fifi,1944,Robert Wise,69,187,33,3.2,0,1,4,10,12,36,19,19,5,0
The Fighting Generation,1944,Alfred Hitchcock,2,423,19,2.7,8,7,15,28,43,35,8,8,1,2
The Big Lift,1950,George Seaton,120,251,22,3.0,1,4,2,23,19,51,21,17,0,2
Austeria,1982,Jerzy Kawalerowicz,109,188,18,3.3,0,0,2,12,10,35,28,21,7,4
Jiseul,2013,O Muel,108,246,35,3.5,2,2,5,7,8,27,30,47,28,8
Let Joy Reign Supreme,1975,Bertrand Tavernier,114,246,35,3.4,0,3,2,7,10,34,35,34,6,10
The Fall of Berlin,1949,Mikheil Chiaureli,167,180,16,3.0,4,8,3,17,20,22,14,12,4,5
Aces High,1976,Jack Gold,114,364,41,3.2,1,1,3,20,28,92,41,36,1,4
His Trust,1911,D. W. Griffith,14,425,16,2.5,22,22,15,28,33,36,19,12,3,3
The Dirty Dozen: Next Mission,1985,Andrew V. McLaglen,95,610,55,2.6,7,16,28,74,56,47,22,12,1,5
Night Wars,1988,David A. Prior,88,139,34,3.0,1,5,9,15,11,22,18,4,3,2
The Cold Blue,2018,Erik Nelson,74,269,39,3.4,2,1,2,8,13,67,50,53,9,7
Why We Fight: War Comes to America,1945,"Frank Capra,Anatole Litvak",70,262,31,3.2,1,5,1,14,11,34,38,21,5,2
Guerra de Canudos,1997,Sérgio Rezende,170,851,43,3.1,7,13,2,38,49,111,47,46,8,13
Age of Heroes,2011,Adrian Vitoria,90,511,31,2.6,9,17,25,62,66,86,24,7,1,4
Admiral,2008,Andrey Kravchuk,123,509,50,3.1,6,10,4,32,40,62,60,41,8,14
Beautiful People,1999,Jasmin Dizdar,107,287,19,3.2,2,2,5,13,15,43,33,27,10,3
The Victors,1963,Carl Foreman,175,177,15,3.3,3,4,2,10,11,29,18,19,10,7
The (Silent) War,2019,Alfonso Cortés-Cavanillas,123,308,29,2.8,6,13,14,43,53,66,26,21,1,4
Amigo,2010,John Sayles,128,252,29,3.2,1,3,2,12,20,52,40,20,3,3
War Pigs,2015,Ryan Little,92,414,27,2.2,25,55,51,55,37,35,11,8,2,3
Heaven and Earth,1990,Haruki Kadokawa,104,178,26,3.5,0,0,1,7,7,31,17,22,8,10
Cry 'Havoc',1943,Richard Thorpe,97,252,57,3.4,0,0,1,10,9,51,38,31,11,6
Five for Hell,1969,Gianfranco Parolini,95,189,37,3.0,2,5,9,11,16,35,15,13,0,0
Captains of the Clouds,1942,Michael Curtiz,114,273,39,3.1,1,1,5,19,32,57,25,17,3,2
The Anderson Platoon,1967,Pierre Schoendoerffer,65,125,9,3.2,1,1,1,2,15,24,22,6,1,2
Beginning of an Unknown Era,1967,"Larisa Chepitko,Andrey Smirnov",73,147,17,3.3,0,0,4,7,5,26,24,22,3,0
The Hasty Heart,1949,Vincent Sherman,102,192,32,3.4,0,0,2,8,12,29,33,26,5,3
For a Lost Soldier,1992,Roeland Kerbosch,92,391,67,3.4,5,6,5,14,25,55,36,53,11,25
Reunion in France,1942,Jules Dassin,104,347,92,3.2,0,4,5,31,28,53,49,25,6,12
The Black Rose,1950,Henry Hathaway,116,251,21,2.9,1,1,8,25,31,45,12,5,2,4
The White Cliffs of Dover,1944,Clarence Brown,126,229,28,3.2,0,1,2,7,21,51,22,14,3,2
Laboratory of the Devil,1992,Godfrey Ho,96,198,17,2.7,6,9,14,25,17,28,7,9,1,4
Nail in the Boot,1932,Mikhail Kalatozov,53,203,29,3.5,0,1,2,0,5,27,27,29,13,5
Beach Red,1967,Cornel Wilde,105,217,27,3.1,2,4,7,13,17,38,27,20,5,0
Battle Hymn,1957,Douglas Sirk,109,252,32,3.1,1,1,2,16,24,60,27,14,3,5
Escape by Night,1960,Roberto Rossellini,151,210,21,3.5,0,0,1,1,9,24,37,38,9,4
Jarhead 3: The Siege,2016,William Kaufman,95,413,33,2.5,17,37,31,56,42,44,18,14,2,12
Operation Pacific,1951,George Waggner,111,430,59,3.0,1,6,3,33,31,86,43,19,4,3
The Ashes,1965,Andrzej Wajda,234,115,20,3.6,0,2,0,1,2,9,20,20,7,7
Alsino and the Condor,1982,Miguel Littín,89,84,10,3.2,1,0,2,4,14,14,9,4,1,1
Attack Force Z,1981,Tim Burstall,93,415,34,2.7,7,9,12,49,59,64,23,10,1,0
Why We Fight: The Battle of Britain,1943,"Frank Capra,Anthony Veiller",53,315,35,3.4,0,0,0,9,15,46,47,22,6,6
Living in Shadows,1949,Lorenzo Llobet Gràcia,74,218,43,3.6,1,0,1,2,5,21,34,40,9,13
Anzio,1968,"Edward Dmytryk,Duilio Coletti",117,444,51,2.9,3,3,8,35,66,82,34,9,3,1
Road 47,2014,Vicente Ferraz,107,411,50,3.1,2,6,5,31,28,91,64,44,9,3
The Seventh Companion,1968,Aleksey German,89,226,44,3.6,0,0,0,5,8,22,41,48,9,8
Julius Caesar,1970,Stuart Burge,117,462,46,2.8,5,13,18,35,45,83,28,19,2,5
Sharpe's Rifles,1993,Tom Clegg,102,637,121,3.5,0,3,2,13,17,87,84,82,9,21
Tutti a casa,1960,Luigi Comencini,120,311,56,3.9,0,1,0,0,6,16,31,78,38,23
Hitler's Children,2011,Chanoch Ze'evi,83,432,55,3.6,1,1,0,11,17,59,67,86,12,24
Amazing Stories,1986,"Robert Zemeckis,Steven Spielberg,William Dear",111,630,102,3.4,0,3,2,10,21,106,66,60,9,13
Inchon,1982,Terence Young,140,159,11,2.1,30,24,21,14,9,2,2,1,1,1
The Road to Glory,1936,Howard Hawks,103,204,40,3.5,0,0,0,5,6,31,45,26,9,4
Until They Sail,1957,Robert Wise,94,338,56,3.2,0,2,3,14,34,62,60,23,7,1
Munro,1961,Gene Deitch,9,304,50,3.5,1,2,6,5,12,28,49,54,17,11
Meet the Spy,2009,Robin Walker,3,867,212,3.9,1,3,1,8,18,45,43,90,36,95
They Fought for Their Motherland,1975,"Sergey Bondarchuk,Vladimir Dostal",137,228,23,3.6,0,0,1,2,8,24,33,30,8,18
The Ninth Circle,1960,France Štiglic,107,93,9,3.5,0,0,0,0,2,14,13,15,6,3
Tobruk,1967,Arthur Hiller,107,380,38,3.0,0,2,9,19,32,106,43,12,0,0
Turkish Ice Cream,2019,Can Ulkay,123,850,55,2.7,32,36,34,69,56,98,36,49,5,22
"War and Peace, Part IV: Pierre Bezukhov",1967,Sergey Bondarchuk,100,431,99,4.0,0,2,0,4,2,21,33,82,42,54
This Above All,1942,Anatole Litvak,110,257,44,3.3,1,3,2,13,16,47,50,18,6,7
Dark Blue World,2001,Jan Svěrák,112,410,59,3.4,1,3,1,11,23,67,49,67,10,8
Papy fait de la résistance,1983,Jean-Marie Poiré,102,788,99,3.3,2,7,7,13,30,97,81,58,13,22
As If I Am Not There,2010,Juanita Wilson,109,215,41,3.6,0,4,1,4,5,23,33,49,9,14
633 Squadron,1964,Walter Grauman,102,426,61,3.1,2,6,7,15,36,98,59,23,2,3
Carve Her Name with Pride,1958,Lewis Gilbert,119,323,62,3.4,2,1,0,9,12,51,58,63,7,6
Sarraounia,1986,Med Hondo,120,142,31,3.6,0,0,0,3,5,17,20,22,10,12
"The Tulse Luper Suitcases, Part 2: Vaux to the Sea",2004,Peter Greenaway,108,251,40,3.4,0,4,5,8,10,17,23,24,9,14
Two-Fisted Tales,1992,"Robert Zemeckis,Richard Donner,Tom Holland",88,160,20,3.1,1,0,4,10,22,25,17,10,2,2
Triple Cross,1966,Terence Young,140,415,57,3.0,1,5,6,29,53,92,43,22,3,7
Stars,1959,Konrad Wolf,92,182,27,3.6,0,2,0,4,2,18,37,29,14,8
Kayoko's Diary,1991,Seiji Arihara,90,246,58,3.7,0,0,2,4,8,16,18,27,7,24
The House with Closed Shutters,1910,D. W. Griffith,16,434,32,2.9,1,8,14,28,46,56,32,14,1,2
SS Girls,1977,Bruno Mattei,95,299,37,2.8,6,8,25,21,27,41,14,19,3,3
Torpedo,2019,Sven Huybrechts,110,369,77,3.4,6,8,2,15,16,54,99,81,13,9
Battle for Haditha,2007,Nick Broomfield,97,536,46,3.3,3,4,8,24,34,92,85,77,9,7
Iron Eagle II,1988,Sidney J. Furie,105,815,37,2.1,22,60,65,106,56,53,9,9,0,1
Guernica,2016,Koldo Serra,110,417,38,2.7,10,15,25,52,39,61,36,20,3,5
Ether,2018,Krzysztof Zanussi,117,350,44,2.9,1,15,13,41,45,71,47,36,3,5
Time to Kill,1989,Giuliano Montaldo,110,289,11,2.4,16,22,26,29,28,24,9,2,1,3
Pack Up Your Troubles,1932,"George Marshall,Harry Black,Raymond McCarey,Lloyd French",68,583,88,3.4,0,1,1,9,30,87,91,67,9,16
And Starring Pancho Villa as Himself,2003,Bruce Beresford,112,559,52,3.0,0,4,5,41,44,110,54,28,5,5
Beginning,1967,Artavazd Peleshyan,10,463,58,3.5,0,2,0,12,10,49,53,57,12,9
Death Mills,1945,"Billy Wilder,Hans Burger",22,340,31,3.6,1,0,3,2,12,26,36,49,8,17
Jarhead 2: Field of Fire,2014,Don Michael Paul,103,523,32,2.4,27,34,33,69,60,63,17,14,2,9
The Camp on Blood Island,1958,Val Guest,81,264,52,3.3,0,1,1,9,27,68,63,27,5,2
The Eternal Road,2017,Antti-Jussi Annila,103,449,56,3.4,0,2,5,18,21,80,75,91,15,14
Boyhood,1951,Keisuke Kinoshita,110,85,16,3.4,1,1,0,1,4,11,12,9,2,1
Behold a Pale Horse,1964,Fred Zinnemann,118,319,49,3.3,0,3,2,15,25,60,48,31,7,6
Goya in Bordeaux,1999,Carlos Saura,100,420,53,3.1,1,8,11,28,25,59,41,29,4,11
The Devil's Disciple,1959,Guy Hamilton,82,357,44,3.2,0,3,3,23,23,71,58,31,6,3
December 7th,1943,"Gregg Toland,John Ford",75,231,20,2.9,4,7,5,23,20,38,11,14,2,2
The Scarlet and the Black,1983,Jerry London,143,438,94,3.4,2,3,2,10,22,59,69,69,12,16
As Far As My Feet Will Carry Me,2001,Hardy Martins,158,544,66,3.4,2,0,14,19,23,68,88,70,24,17
The Night Watch,2011,Richard Laxton,89,305,32,3.2,1,2,5,11,28,46,30,19,6,6
Life and Nothing But,1989,Bertrand Tavernier,135,323,42,3.6,0,1,1,5,16,33,47,64,13,11
Bright Victory,1951,Mark Robson,97,179,29,3.4,0,1,0,7,6,27,33,26,3,1
The Colditz Story,1955,Guy Hamilton,94,446,62,3.4,0,1,0,10,15,83,86,44,8,6
Le Soldatesse,1965,Valerio Zurlini,114,254,53,3.7,0,0,1,3,4,20,41,66,22,13
Triumph of the Spirit,1989,Robert M. Young,120,383,42,3.2,1,3,2,21,31,76,43,37,4,4
13 Rue Madeleine,1947,Henry Hathaway,95,439,62,3.2,2,2,0,14,27,90,63,35,5,4
"Bomb, A Love Story",2018,Peyman Maadi,120,783,128,2.5,50,60,57,97,68,102,54,38,9,16
The Ghazi Attack,2017,Sankalp Reddy,126,649,115,3.2,5,8,15,27,33,116,110,90,11,14
"War and Peace, Part II: Natasha Rostova",1965,Sergey Bondarchuk,100,487,124,3.9,0,1,0,5,15,34,43,78,53,46
There Be Dragons,2011,Roland Joffé,112,480,31,2.6,18,32,30,51,39,58,18,22,6,8
The Fighting Seabees,1944,Edward Ludwig,100,459,55,3.0,1,2,9,29,48,94,35,22,2,3
Air Strike,2018,Xiao Feng,120,395,26,1.7,84,78,39,44,15,8,5,4,1,5
The Battle of Kerzhenets,1971,"Ivan Ivanov-Vano,Yuri Norstein",10,440,72,3.4,0,2,6,10,16,52,76,53,16,12
The Lion Has Wings,1939,"Alexander Korda,Michael Powell,Adrian Brunel,Brian Desmond Hurst",76,212,9,2.8,2,5,5,25,35,37,10,3,0,2
Days of Hope,1945,"André Malraux,Boris Peskine",69,169,23,3.4,0,1,2,5,10,22,16,17,9,8
"War and Peace, Part III: The Year 1812",1967,Sergey Bondarchuk,84,464,125,4.1,0,2,0,2,1,19,25,81,52,74
Northern Limit Line,2015,Kim Hak-soon,130,634,43,2.8,16,27,37,79,66,74,67,46,11,16
The Way Ahead,1944,Carol Reed,115,318,52,3.3,0,2,1,10,18,59,56,40,8,4
Why We Fight: The Nazis Strike,1943,"Frank Capra,Anatole Litvak",42,366,33,3.3,1,1,5,11,19,50,45,37,6,5
The Lost Bladesman,2011,"Alan Mak,Felix Chong",107,587,41,2.9,1,18,17,37,68,98,67,19,6,3
Bataan,1943,Tay Garnett,114,433,61,3.3,0,4,8,13,30,71,57,40,13,6
Bye Bye Germany,2017,Sam Garbarski,102,432,55,3.1,1,7,7,24,42,105,85,34,6,7
Forest of the Hanged,1965,Liviu Ciulei,158,205,31,3.6,0,1,1,6,5,15,23,42,12,9
Chronicle of Flaming Years,1961,Yuliya Solntseva,91,144,20,3.5,0,1,0,4,7,22,21,16,10,5
MacArthur,1977,Joseph Sargent,130,551,59,3.0,0,6,11,32,50,102,55,29,4,9
The Last Witness,1980,Lee Doo-yong,158,160,25,3.7,0,1,3,4,1,15,21,36,11,20
Shanghai Fortress,2019,Teng Hua-Tao,107,439,25,2.1,39,65,50,73,49,51,13,10,3,1
Mother of Mine,2005,Klaus Härö,111,510,49,3.4,1,1,0,23,20,78,71,82,18,14
Desperate Journey,1942,Raoul Walsh,107,345,57,3.3,0,1,4,11,19,47,60,40,7,4
March or Die,1977,Dick Richards,107,500,41,3.0,4,3,11,41,38,106,60,18,2,6
Brutality in Stone,1961,"Alexander Kluge,Peter Schamoni",12,396,67,3.5,0,0,0,5,13,40,62,52,6,9
