title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
With the Marines at Tarawa,1944,"Richard Brooks,Lewis Hayward",18,71,9,3.3,0,1,2,5,2,16,9,5,1,3
Mobile Suit Zeta Gundam A New Translation I: Heirs to the Stars,2005,Yoshiyuki Tomino,94,252,41,3.3,1,3,3,8,15,44,24,28,6,7
Mosul,2019,Matthew Michael Carnahan,101,151,11,3.2,3,0,2,6,9,21,11,10,2,2
Eleni,1985,Peter Yates,114,141,13,3.3,1,0,2,7,9,19,22,12,1,3
The Angel Wore Red,1960,Nunnally Johnson,95,140,11,3.0,0,3,0,16,23,23,14,1,0,0
Track 143,2014,Narges Abyar,94,368,43,2.7,23,26,16,25,18,44,20,23,5,10
Reunion,1989,Jerry Schatzberg,110,74,15,3.4,0,1,1,2,2,12,12,7,3,2
American Commandos,1985,Bobby A. Suarez,88,76,12,3.1,0,5,2,8,8,12,6,1,1,2
You Can't Win 'Em All,1970,Peter Collinson,97,126,17,3.1,1,3,2,7,12,25,7,5,1,2
The Square Peg,1958,John Paddy Carstairs,89,239,37,3.3,1,1,2,10,6,35,30,26,5,5
The Last Train,2006,"Joseph Vilsmaier,Dana Vávrová",123,226,21,3.3,0,5,1,7,11,38,35,22,7,4
The Scapular,1968,Servando González,85,104,24,3.6,0,0,2,2,2,10,17,19,4,8
General Spanky,1936,"Gordon Douglas,Fred C. Newmeyer",71,109,9,3.0,0,3,5,13,10,16,7,4,0,1
Urumi,2011,Santosh Sivan,160,309,58,3.3,0,2,0,10,15,44,44,36,5,4
Yamato,2005,Jun'ya Satô,145,170,11,3.1,2,2,1,15,13,30,19,13,2,2
The Midwife,2015,Antti Jokinen,119,214,22,3.0,1,4,4,25,18,38,24,8,2,3
Timbuktu,1959,Jacques Tourneur,91,118,15,3.2,0,0,0,10,17,18,14,6,5,1
Rendezvous,1935,"Sam Wood,William K. Howard",94,156,20,3.1,0,0,1,7,18,44,22,5,0,1
Leily Is with Me,1996,Kamal Tabrizi,90,423,40,2.9,12,15,7,26,28,54,39,32,4,6
Field of Lost Shoes,2015,Sean McNamara,96,188,27,2.9,6,5,12,20,22,26,18,9,2,4
Saints and Soldiers: The Void,2014,Ryan Little,96,189,18,2.7,4,16,10,27,18,32,8,6,1,4
War Story,1989,Peter Lord,6,197,38,3.3,0,1,2,10,9,31,24,25,5,3
Two Deaths,1995,Nicolas Roeg,102,94,9,3.0,1,3,2,10,6,18,5,4,1,0
Sharpe's Honour,1994,Tom Clegg,101,371,52,3.4,0,2,2,3,11,52,41,24,4,10
Lilac Time,1928,George Fitzmaurice,80,87,13,3.3,0,1,0,3,5,18,19,8,0,0
Jew Suss: Rise and Fall,2010,Oskar Roehler,114,260,13,2.9,3,8,11,11,25,51,17,11,3,2
Corvette K-225,1943,"Howard Hawks,Richard Rosson",98,64,4,3.2,0,0,0,5,6,18,4,2,1,0
Gallipoli,2005,Tolga Örnek,119,249,38,3.4,1,2,0,8,11,33,25,30,4,7
Sharpe's Gold,1995,Tom Clegg,101,365,45,3.2,0,4,5,6,17,57,35,12,3,8
Süskind,2012,Rudolf van den Berg,117,296,15,3.2,1,2,2,11,22,48,33,18,1,6
The Lost Strait,2018,Bahram Tavakoli,93,371,30,2.4,28,37,35,42,37,44,19,8,3,7
Bombardier,1943,Richard Wallace,99,105,10,3.1,0,1,3,10,14,25,8,5,0,0
Sonny Boy,2011,Maria Peters,130,326,13,3.0,1,2,8,23,22,39,34,14,2,2
Red Sands,2009,Alex Turner,89,287,8,2.3,15,27,20,38,14,19,4,1,0,1
Censored,1944,Frank Tashlin,3,288,23,2.9,3,10,11,21,19,34,15,20,2,2
The Cockleshell Heroes,1955,José Ferrer,97,183,21,3.1,1,2,2,9,12,49,22,13,0,1
Cold Days,1968,András Kovács,96,98,17,3.6,0,0,0,4,2,7,13,11,17,4
The Cross of Lorraine,1943,Tay Garnett,90,126,18,3.3,0,1,1,2,9,31,17,9,2,0
For a Few Extra Dollars,1966,Giorgio Ferroni,105,98,17,3.2,0,0,2,8,7,26,10,4,1,1
The Red Nights of the Gestapo,1977,Fabio De Agostini,103,94,5,2.9,1,3,6,9,10,11,4,1,1,0
The Battle of Okinawa,1971,Kihachi Okamoto,149,87,13,3.4,0,1,1,1,6,9,11,8,4,4
7-Man Army,1976,"Chang Cheh,Wu Ma,Ting Wu Hsiung",100,106,25,3.4,0,0,1,5,7,11,21,16,6,3
Winning Your Wings,1942,"John Huston,Owen Crump",18,132,12,3.1,0,0,6,7,16,25,9,6,0,0
Mare Nostrum,1926,Rex Ingram,102,100,11,3.3,0,0,0,4,10,22,16,8,0,0
Up Periscope,1959,Gordon Douglas,112,207,23,3.0,0,1,2,22,25,40,24,7,0,2
Homecoming,1948,Mervyn LeRoy,113,149,27,3.3,0,0,0,9,10,34,14,12,1,3
